group,pt,project_id,title,reason_de,reason_en,budget_proposal_chf,pure_budget
A,5,78,Auflistung,"Klassik, bescheiden für viele","Classic, modest for many",CHF 500.-,500
A,4,126,Connection,"Öffentlicher Raum, Verschiebung Stoff","Public space, fabric shifting",CHF 13'600,13'600
A,3,124,Goppisberg,"Zugänglich, Kinderentwicklung","Accessible, child development",CHF 20'000,20'000
A,2,142,Copy paste,"Inspiration, diff. Ausstellung","Inspiration, diff. exhibition",CHF 3'800,3'800
A,1,12,Bambolini,"Kinderbeschäftigung, versd. Kulturen","Child engagement, various cultures",CHF 5'000.-,5'000
B,5,5,Wir hier. Briefe an Winterthur,"Neu, zufälliger Austausch, Bezug Winter","New, random exchange, reference to Winterthur",,
B,4,93,Gesehen,"Generationenübergreifend, breites Interesse","Cross-generational, broad interest",,
B,3,9,F-E Filmpreis,"Auszeichnung für Umwelt Engagiert, Gewichtung + Bühne für Umwelt","Award for environmental commitment, spotlight on environment",,
B,2,20,Cashflow,"Neues Thema, breites Publikum","New topic, broad audience",,
B,1,16,Dohfila: Die Unsichtbaren,"Bezug zur Geschichte Winterthurs, Berührt Herz, Sensibilisierung","Reference to the history of Winterthur, touches heart, Raise Awareness",,
C,5,20,Cashflow,"Inspirierend, trendy, neu, cool","Inspiring, trendy, new, cool",,
C,4,93,Gesehen,"Neu, Generation, innovativ, Frauen!","New, generation, innovative, women!",,
C,3,81,AllTraumzeit,"Jugendlich, sozial, vielfarbig","Youthful, social, colorful",,
C,2,138,Landkreisen,"Winterthur, innovativ, kreativ","Winterthur, innovative, creative",,
C,1,76,Echo der Wölfe,"Generation, herz","Generation, heart",,
D,5,126,Connection instead of Addiction,"Öffentlich, Austausch, Es bleibt, Rundgruppe (Interaktion)","Public, exchange, it stays, interaction group",11000 statt 13000,11000
D,4,65,Clown-Theater,"Rundgruppe, Gratis, Öffentlich, Verbunden","Interaction group, free, public, connected",,
D,3,16,Dokfilm: Die Unsichtbaren,"Sensibilisierung, Sichtbarkeit, lokaler Bezug","Raise Awareness, visibility, local reference",,
